12:10:10:383 [main] INFO  jaxb.CustomerJAXB - adress Tbilisi Street 2
12:10:10:385 [main] INFO  jaxb.CustomerJAXB - discount 3%
12:10:10:409 [main] INFO  jaxb.EmployeesJAXB - Employee info
12:10:10:409 [main] INFO  jaxb.EmployeesJAXB - Employee ID 1
12:10:10:409 [main] INFO  jaxb.EmployeesJAXB - First name Gia
12:10:10:409 [main] INFO  jaxb.EmployeesJAXB - Last name Bolkvadze
12:10:10:410 [main] INFO  jaxb.EmployeesJAXB - City Batumi
12:10:10:410 [main] INFO  jaxb.EmployeesJAXB - Phone number +995555222000
12:10:10:410 [main] INFO  jaxb.EmployeesJAXB - adress Gogebashvili Street 2
12:10:10:412 [main] INFO  jaxb.EmployeesJAXB - salary 25000
12:10:10:412 [main] INFO  jaxb.EmployeesJAXB - Manager ID2
12:10:10:425 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic info:
12:10:10:436 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic ID: 1
12:10:10:436 [main] INFO  jaxb.EngineMechanicJAXB - Car Service ID: 1
12:10:10:436 [main] INFO  jaxb.EngineMechanicJAXB - Employee ID: 3
12:10:10:444 [main] INFO  jaxb.ManagerJAXB - Customer info
