16:14:35:922 [main] INFO  jaxb.AutomotiveElectricianJAXB - Employee ID: 3
16:14:35:934 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store info
16:14:35:934 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store ID1
16:14:35:935 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Cashier ID1
16:14:35:935 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Order ID1
16:14:35:936 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part warehouse ID1
16:14:35:936 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part ID3
16:14:35:943 [main] INFO  jaxb.CashierJAXB - Cashier info
16:14:35:943 [main] INFO  jaxb.CashierJAXB - Cashier ID1
16:14:35:944 [main] INFO  jaxb.CashierJAXB - Employee ID1
16:14:35:954 [main] INFO  jaxb.CustomerJAXB - Customer info
16:14:35:955 [main] INFO  jaxb.CustomerJAXB - Customer ID 1
16:14:35:955 [main] INFO  jaxb.CustomerJAXB - First name Ana
16:14:35:955 [main] INFO  jaxb.CustomerJAXB - Last name Surmanidze
16:14:35:955 [main] INFO  jaxb.CustomerJAXB - Phone number +995555222000
