12:15:21:268 [main] INFO  jaxb.AutomotiveElectricianJAXB - Employee ID: 3
12:15:21:281 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store info
12:15:21:281 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store ID1
12:15:21:282 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Cashier ID1
12:15:21:283 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Order ID1
12:15:21:283 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part warehouse ID1
12:15:21:283 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part ID3
12:15:21:289 [main] INFO  jaxb.CashierJAXB - Cashier info
12:15:21:291 [main] INFO  jaxb.CashierJAXB - Cashier ID1
12:15:21:291 [main] INFO  jaxb.CashierJAXB - Employee ID1
12:15:21:299 [main] INFO  jaxb.CustomerJAXB - Customer info
12:15:21:300 [main] INFO  jaxb.CustomerJAXB - Customer ID 1
12:15:21:300 [main] INFO  jaxb.CustomerJAXB - First name Ana
12:15:21:300 [main] INFO  jaxb.CustomerJAXB - Last name Surmanidze
12:15:21:300 [main] INFO  jaxb.CustomerJAXB - Phone number +995555222000
