12:12:57:849 [main] INFO  jaxb.AutomotiveElectricianJAXB - Employee ID: 3
12:12:57:864 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store info
12:12:57:865 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store ID1
12:12:57:865 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Cashier ID1
12:12:57:866 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Order ID1
12:12:57:866 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part warehouse ID1
12:12:57:866 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part ID3
12:12:57:873 [main] INFO  jaxb.CashierJAXB - Cashier info
12:12:57:873 [main] INFO  jaxb.CashierJAXB - Cashier ID1
12:12:57:873 [main] INFO  jaxb.CashierJAXB - Employee ID1
12:12:57:889 [main] INFO  jaxb.CustomerJAXB - Customer info
12:12:57:994 [main] INFO  jaxb.CustomerJAXB - Customer ID 1
12:12:57:994 [main] INFO  jaxb.CustomerJAXB - First name Ana
12:12:57:995 [main] INFO  jaxb.CustomerJAXB - Last name Surmanidze
12:12:57:995 [main] INFO  jaxb.CustomerJAXB - Phone number +995555222000
