12:12:57:995 [main] INFO  jaxb.CustomerJAXB - adress Tbilisi Street 2
12:12:58:024 [main] INFO  jaxb.CustomerJAXB - discount 3%
12:12:58:033 [main] INFO  jaxb.EmployeesJAXB - Employee info
12:12:58:033 [main] INFO  jaxb.EmployeesJAXB - Employee ID 1
12:12:58:033 [main] INFO  jaxb.EmployeesJAXB - First name Gia
12:12:58:033 [main] INFO  jaxb.EmployeesJAXB - Last name Bolkvadze
12:12:58:033 [main] INFO  jaxb.EmployeesJAXB - City Batumi
12:12:58:034 [main] INFO  jaxb.EmployeesJAXB - Phone number +995555222000
12:12:58:035 [main] INFO  jaxb.EmployeesJAXB - adress Gogebashvili Street 2
12:12:58:035 [main] INFO  jaxb.EmployeesJAXB - salary 25000
12:12:58:035 [main] INFO  jaxb.EmployeesJAXB - Manager ID2
12:12:58:042 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic info:
12:12:58:100 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic ID: 1
12:12:58:100 [main] INFO  jaxb.EngineMechanicJAXB - Car Service ID: 1
12:12:58:100 [main] INFO  jaxb.EngineMechanicJAXB - Employee ID: 3
12:12:58:128 [main] INFO  jaxb.ManagerJAXB - Customer info
