12:08:13:303 [main] INFO  jaxb.CustomerJAXB - adress Tbilisi Street 2
12:08:13:305 [main] INFO  jaxb.CustomerJAXB - discount 3%
12:08:13:319 [main] INFO  jaxb.EmployeesJAXB - Employee info
12:08:13:319 [main] INFO  jaxb.EmployeesJAXB - Employee ID 1
12:08:13:319 [main] INFO  jaxb.EmployeesJAXB - First name Gia
12:08:13:319 [main] INFO  jaxb.EmployeesJAXB - Last name Bolkvadze
12:08:13:319 [main] INFO  jaxb.EmployeesJAXB - City Batumi
12:08:13:320 [main] INFO  jaxb.EmployeesJAXB - Phone number +995555222000
12:08:13:320 [main] INFO  jaxb.EmployeesJAXB - adress Gogebashvili Street 2
12:08:13:320 [main] INFO  jaxb.EmployeesJAXB - salary 25000
12:08:13:320 [main] INFO  jaxb.EmployeesJAXB - Manager ID2
12:08:13:328 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic info:
12:08:13:343 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic ID: 1
12:08:13:343 [main] INFO  jaxb.EngineMechanicJAXB - Car Service ID: 1
12:08:13:343 [main] INFO  jaxb.EngineMechanicJAXB - Employee ID: 3
12:08:13:353 [main] INFO  jaxb.ManagerJAXB - Customer info
