12:21:20:284 [main] INFO  jaxb.AutomotiveElectricianJAXB - Employee ID: 3
12:21:20:294 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store info
12:21:20:295 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store ID1
12:21:20:295 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Cashier ID1
12:21:20:296 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Order ID1
12:21:20:296 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part warehouse ID1
12:21:20:296 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part ID3
12:21:20:301 [main] INFO  jaxb.CashierJAXB - Cashier info
12:21:20:301 [main] INFO  jaxb.CashierJAXB - Cashier ID1
12:21:20:301 [main] INFO  jaxb.CashierJAXB - Employee ID1
12:21:20:308 [main] INFO  jaxb.CustomerJAXB - Customer info
12:21:20:314 [main] INFO  jaxb.CustomerJAXB - Customer ID 1
12:21:20:314 [main] INFO  jaxb.CustomerJAXB - First name Ana
12:21:20:314 [main] INFO  jaxb.CustomerJAXB - Last name Surmanidze
12:21:20:314 [main] INFO  jaxb.CustomerJAXB - Phone number +995555222000
