16:25:50:509 [main] INFO  jaxb.CustomerJAXB - adress Tbilisi Street 2
16:25:50:511 [main] INFO  jaxb.CustomerJAXB - discount 3%
16:25:50:529 [main] INFO  jaxb.EmployeesJAXB - Employee info
16:25:50:530 [main] INFO  jaxb.EmployeesJAXB - Employee ID 1
16:25:50:530 [main] INFO  jaxb.EmployeesJAXB - First name Gia
16:25:50:530 [main] INFO  jaxb.EmployeesJAXB - Last name Bolkvadze
16:25:50:530 [main] INFO  jaxb.EmployeesJAXB - City Batumi
16:25:50:530 [main] INFO  jaxb.EmployeesJAXB - Phone number +995555222000
16:25:50:530 [main] INFO  jaxb.EmployeesJAXB - adress Gogebashvili Street 2
16:25:50:531 [main] INFO  jaxb.EmployeesJAXB - salary 25000
16:25:50:531 [main] INFO  jaxb.EmployeesJAXB - Manager ID2
16:25:50:539 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic info:
16:25:50:539 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic ID: 1
16:25:50:539 [main] INFO  jaxb.EngineMechanicJAXB - Car Service ID: 1
16:25:50:539 [main] INFO  jaxb.EngineMechanicJAXB - Employee ID: 3
16:25:50:548 [main] INFO  jaxb.ManagerJAXB - Customer info
