12:22:45:712 [main] INFO  jaxb.CustomerJAXB - adress Tbilisi Street 2
12:22:45:715 [main] INFO  jaxb.CustomerJAXB - discount 3%
12:22:45:728 [main] INFO  jaxb.EmployeesJAXB - Employee info
12:22:45:728 [main] INFO  jaxb.EmployeesJAXB - Employee ID 1
12:22:45:729 [main] INFO  jaxb.EmployeesJAXB - First name Gia
12:22:45:729 [main] INFO  jaxb.EmployeesJAXB - Last name Bolkvadze
12:22:45:729 [main] INFO  jaxb.EmployeesJAXB - City Batumi
12:22:45:729 [main] INFO  jaxb.EmployeesJAXB - Phone number +995555222000
12:22:45:729 [main] INFO  jaxb.EmployeesJAXB - adress Gogebashvili Street 2
12:22:45:730 [main] INFO  jaxb.EmployeesJAXB - salary 25000
12:22:45:730 [main] INFO  jaxb.EmployeesJAXB - Manager ID2
12:22:45:740 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic info:
12:22:45:764 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic ID: 1
12:22:45:764 [main] INFO  jaxb.EngineMechanicJAXB - Car Service ID: 1
12:22:45:764 [main] INFO  jaxb.EngineMechanicJAXB - Employee ID: 3
12:22:45:771 [main] INFO  jaxb.ManagerJAXB - Customer info
